"BeerName","Beer_ID","ABV","IBU","Style","Ounces"
"Get Together",2692,0.045,50,"American IPA",16
"Maggie's Leap",2691,0.049,26,"Milk / Sweet Stout",16
"Wall's End",2690,0.048,19,"English Brown Ale",16
"Pumpion",2689,0.06,38,"Pumpkin Ale",16
"Stronghold",2688,0.06,25,"American Porter",16
"Parapet ESB",2687,0.056,47,"Extra Special / Strong Bitter (ESB)",16
"Citra Ass Down",2686,0.08,68,"American Double / Imperial IPA",16
"London Balling",2685,0.125,80,"English Barleywine",16
"35 K",2684,0.077,25,"Milk / Sweet Stout",16
"A Beer",2683,0.042,42,"American Pale Ale (APA)",16
"Rules are Rules",2682,0.05,25,"German Pilsener",16
"Flesh Gourd'n",2681,0.066,21,"Pumpkin Ale",16
"Sho'nuff",2680,0.04,13,"Belgian Pale Ale",16
"Bloody Show",2679,0.055,17,"American Pilsner",16
"Rico Sauvin",2678,0.076,68,"American Double / Imperial IPA",16
"Coq de la Marche",2677,0.051,38,"Saison / Farmhouse Ale",16
"Pile of Face",2675,0.06,65,"American IPA",16
"The Brown Note",2674,0.05,20,"English Brown Ale",16
"House Lager",2673,0.052,18,"Keller Bier / Zwickel Bier",16
"Leisure Time",2672,0.048,15,"American Pale Lager",12
"Excess IPL",2671,0.072,80,"American India Pale Lager",16
"Hoponius Union",2670,0.067,65,"American India Pale Lager",12
"Calyptra",2669,0.049,45,"American India Pale Lager",12
"Habitus (2014)",2668,0.08,100,"American Double / Imperial IPA",16
"Solis",2667,0.075,85,"American IPA",16
"Jucundus",2666,0.06,24,"Wheat Ale",16
"Habitus",2664,0.08,100,"American Double / Imperial IPA",16
"Grazias",2663,0.063,30,"Cream Ale",16
"Claritas",2662,0.058,28,"Kölsch",16
"Park",2661,0.047,19,"American Pale Wheat Ale",12
"Westfalia",2660,0.056,16,"American Amber / Red Ale",12
"KSA",2659,0.046,17,"Kölsch",12
"Villager",2658,0.063,42,"American IPA",12
"Yeti  Imperial Stout",2644,0.095,75,"Russian Imperial Stout",12
"Peck's Porter",2640,0.065,35,"American Porter",16
"Dark Star",2639,0.08,54,"American Stout",16
"Sparkle",2635,0.041,12,"American Pale Lager",16
"North 45 Amber Ale",1404,0.059,25,"American Amber / Red Ale",16
"Horny Monk",1403,0.069,20,"Dubbel",16
"Mind's Eye PA",1402,0.067,74,"American IPA",16
"Nordskye",2634,0.048,47,"American IPA",12
"North Third Stout",2153,0.06,30,"Foreign / Export Stout",12
"51K IPA",1481,0.07,51,"American IPA",12
"Hotbox Brown",2633,0.055,10,"American Brown Ale",12
"Gold",2632,0.048,15,"American Blonde Ale",12
"98 Problems (Cuz A Hop Ain't One)",2630,0.065,65,"American IPA",12
"Veteran’s Pale Ale (VPA)",2629,0.05,40,"American Pale Ale (APA)",12
"Grapefruit IPA",2628,0.05,35,"American IPA",12
"Train Hopper",2627,0.058,72,"American IPA",12
"Dirty Bastard",2625,0.085,50,"Scotch Ale / Wee Heavy",12
"Centennial IPA",1565,0.072,65,"American IPA",12
"All Day IPA",1223,0.047,42,"American IPA",12
