"State","BeerName","ABV","IBU","Style","BreweryName","lat","long"
"AK","Sockeye Red IPA",0.057,70,"American IPA","Midnight Sun Brewing Company","58.3014","-134.422"
"AK","Fairweather IPA",0.061,64,"American IPA","Broken Tooth Brewing Company","58.3014","-134.422"
"AK","Kodiak Brown Ale",0.05,24,"American Brown Ale","Midnight Sun Brewing Company","58.3014","-134.422"
"AK","Snowshoe White Ale",0.048,12,"Witbier","Midnight Sun Brewing Company","58.3014","-134.422"
"AK","Pleasure Town",0.063,61,"American IPA","Midnight Sun Brewing Company","58.3014","-134.422"
"AK","Northern Lights Amber Ale",0.05,15,"American Amber / Red Ale","Broken Tooth Brewing Company","58.3014","-134.422"
"AK","Peninsula Brewers Reserve (PBR)",0.05,15,"American Blonde Ale","Kenai River Brewing Company","58.3014","-134.422"
"AK","Polar Pale Ale",0.052,17,"American Pale Ale (APA)","Broken Tooth Brewing Company","58.3014","-134.422"
"AK","Freeride APA",0.053,40,"American Pale Ale (APA)","Alaskan Brewing Company","58.3014","-134.422"
"AK","Alaskan Amber",0.053,18,"Altbier","Alaskan Brewing Company","58.3014","-134.422"
"AK","Pleasure Town IPA",0.063,61,"American IPA","Midnight Sun Brewing Company","58.3014","-134.422"
"AK","Twister Creek India Pale Ale",0.065,71,"American IPA","Denali Brewing Company","58.3014","-134.422"
"AK","Chuli Stout",0.059,55,"Irish Dry Stout","Denali Brewing Company","58.3014","-134.422"
"AK","Single Engine Red",0.058,46,"Irish Red Ale","Denali Brewing Company","58.3014","-134.422"
"AK","Mother Ale",0.056,46,"American Blonde Ale","Denali Brewing Company","58.3014","-134.422"
"AK","King Street IPA",0.06,70,"American IPA","King Street Brewing Company","58.3014","-134.422"
"AK","King Street Hefeweizen",0.057,10,"Hefeweizen","King Street Brewing Company","58.3014","-134.422"
"AL","Monkeynaut IPA",0.072,70,"American IPA","Straight to Ale","32.3617","-86.2792"
"AL","Snake Handler Double IPA",0.093,103,"American Double / Imperial IPA","Good People Brewing Company","32.3617","-86.2792"
"AL","Coffee Oatmeal Stout",0.06,54,"Oatmeal Stout","Good People Brewing Company","32.3617","-86.2792"
